cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
44 88 1326 0 0 0 0 0 1.0008 0 0.454 -0.1278 0.1846 0.2161 0.9401 0.9961 -0.0265 0.1631 0.2558 2.5764 0.7173 -0.1165 0.6309 0.8071 4.7333 0.0941 0.0941 0.3187 0 0
44 89 1256 0 0 0 0 0 1.0007 0 -0.6101 -0.0931 0.2386 0.2723 1.1133 0.9469 -0.1558 0.6726 1.0172 6.5963 0.6029 0.0316 0.7128 0.8971 4.8107 0.0816 0.0816 0.4429 0 0
44 90 1310 0 0 0 0 0 1.0006 0 0.9665 -0.0404 0.0748 0.0904 0.8799 0.9953 0.0986 0.1046 0.1646 1.2174 0.7682 0.1155 0.5967 0.7574 4.4725 0.0633 0.0633 0.2683 0 0
44 91 1304 0 0 0 0 0 1.0004 0 0.9905 -0.0209 0.0906 0.1007 1.3048 0.9988 0.0504 0.0614 0.0789 1.7478 0.8145 0.0026 0.5114 0.6596 4.2029 -0.045 0.045 0.2517 0 0
44 92 1283 0 0 0 0 0 1.0002 0 0.9985 0.036 0.0675 0.0762 1.276 0.9985 -0.1142 0.1145 0.1424 1.6119 0.7363 0.0779 0.6216 0.7879 4.3069 -0.0362 0.0362 0.3195 0 0
44 93 1302 0 0 0 0 0 1.0004 0 0.9768 -0.3054 0.3054 0.3725 1.0231 0.9963 -0.276 0.4535 0.6715 4.2868 0.6956 -0.2087 0.6223 0.7832 4.5559 0.0674 0.0674 0.294 0 0
44 94 1301 0 0 0 0 0 1.0012 0 0.7973 -0.0723 0.1398 0.1794 0.9023 0.992 0.0406 0.1353 0.1763 3.4437 0.664 -0.0586 0.6793 0.8639 4.5801 0.09 0.09 0.3538 0 0
44 95 1382 0 0 0 0 0 1.0008 0 0.917 0.0408 0.1008 0.1012 1.0141 0.9963 -0.0545 0.0912 0.1078 0.9117 0.8208 0.0154 0.5494 0.7067 4.389 0.0383 0.0383 0.2525 0 0
44 96 1344 0 0 0 0 0 1.0006 0 0.0217 -0.1042 0.1527 0.1811 0.7125 0.9939 -0.1615 0.1734 0.2489 1.8286 0.7618 -0.127 0.6125 0.7904 4.6555 0.1107 0.1107 0.2918 0 0
44 97 1334 0 0 0 0 0 1.0005 0 1 -0.1837 0.1837 0.2212 0.8506 0.9959 0.1383 0.2152 0.2482 2.1365 0.7475 -0.0212 0.599 0.7412 4.6377 0.1001 0.1001 0.2811 0 0
44 98 1245 0 0 0 0 0 1.0005 0 0.8455 0.0927 0.1519 0.1594 1.0132 0.994 -0.1464 0.1561 0.1796 1.2867 0.7273 -0.135 0.673 0.8627 4.3721 -0.0258 0.0258 0.2802 0 0
44 99 1364 4 0 0 0 0 1.0007 0 0.9702 -0.3262 0.3262 0.3327 0.6322 0.9928 -0.3048 0.5716 0.6976 2.9484 0.6323 -0.0829 0.8131 1.0267 5.3062 0.2765 0.2765 0.2584 1 0
44 100 1357 0 0 0 0 0 1.0005 0 0.4678 -0.1343 0.2169 0.241 0.7729 0.9892 -0.0163 0.2783 0.3828 3.3569 0.7199 0.2346 0.6757 0.8479 4.5856 0.1026 0.1026 0.3101 0 0
44 101 1273 0 0 0 0 0 1.0004 0 0.2181 0.0312 0.0312 0.0433 0.8312 0.9975 0.0321 0.119 0.1272 1.3361 0.7405 0.0414 0.5925 0.755 4.162 -0.155 0.155 0.3546 0 0
44 102 1265 0 0 0 0 0 1.0014 0 0.7667 0.1366 0.1502 0.2413 1.4073 0.9823 0.023 0.1718 0.2308 3.1128 0.6258 -0.087 0.6898 0.8723 4.192 -0.1935 0.1935 0.4578 0 0
44 103 1263 1 0 0 0 0 1.0006 0 0.8784 -0.1983 0.1983 0.2369 1.0654 0.9976 -0.013 0.2755 0.3208 4.4545 0.6995 -0.1652 0.6334 0.8057 4.3976 -0.0409 0.0409 0.4124 1 0
44 104 1281 0 0 0 0 0 1.0007 0 1 0.0623 0.0623 0.0657 0.7724 0.9929 0.0462 0.1216 0.1438 1.3597 0.7273 0.0735 0.6446 0.8326 4.5184 0.0481 0.0481 0.3022 0 0
44 105 1293 0 0 0 0 0 1.0015 0 0.9197 0.0035 0.1349 0.1589 1.2914 0.9717 -0.1772 0.3748 0.4957 3.9959 0.6882 0.1469 0.6679 0.8337 4.4341 -0.0292 0.0292 0.3357 0 0
44 106 1278 0 0 0 0 0 1.0004 0 0.9736 -0.2273 0.2273 0.2627 0.7827 0.9988 0.2508 0.2562 0.3236 2.0429 0.7526 0.2287 0.629 0.7826 4.714 0.0633 0.0633 0.2948 0 0
44 107 1291 0 0 0 0 0 1.001 0 0.9501 0.0785 0.1033 0.1147 1.2799 0.9882 0.0042 0.1141 0.159 1.8545 0.7103 -0.0231 0.6428 0.8183 4.4804 -0.0352 0.0352 0.3883 0 0
44 108 1264 0 0 0 0 0 1.0006 0 0.9991 -0.0028 0.0384 0.0445 1.1184 0.9962 -0.162 0.1638 0.2065 2.3421 0.679 -0.1218 0.665 0.875 4.4398 -0.0137 0.0137 0.3794 0 0
44 109 1308 0 0 0 0 0 1.0002 0 0.9996 -0.1486 0.1486 0.1509 0.8728 0.9941 0.1345 0.1741 0.2406 1.6243 0.7826 0.1019 0.5494 0.6924 4.4605 0.1011 0.1011 0.2907 0 0
